,Gross domestic product 2013,,,,,,,,
,,,,,,,,,
,,,,(millions of,,,,,
,Ranking,,Economy,US dollars),,,,,
,,,,,,,,,
USA,1,,United States," 16,768,100 ",,,,,
CHN,2,,China," 9,240,270 ",,,,,
JPN,3,,Japan," 4,919,563 ",,,,,
DEU,4,,Germany," 3,730,261 ",,,,,
FRA,5,,France," 2,806,428 ",,,,,
GBR,6,,United Kingdom," 2,678,455 ",,,,,
BRA,7,,Brazil," 2,245,673 ",,,,,
ITA,8,,Italy," 2,149,485 ",,,,,
RUS,9,,Russian Federation," 2,096,777 ",,,,,
IND,10,,India," 1,875,141 ",,,,,
CAN,11,,Canada," 1,826,769 ",,,,,
AUS,12,,Australia," 1,560,372 ",,,,,
ESP,13,,Spain," 1,393,040 ",,,,,
KOR,14,,"Korea, Rep."," 1,304,554 ",,,,,
MEX,15,,Mexico," 1,260,915 ",,,,,
IDN,16,,Indonesia," 868,346 ",,,,,
NLD,17,,Netherlands," 853,539 ",,,,,
TUR,18,,Turkey," 822,135 ",,,,,
SAU,19,,Saudi Arabia," 748,450 ",,,,,
CHE,20,,Switzerland," 685,434 ",,,,,
ARG,21,,Argentina," 609,889 ",,,,,
SWE,22,,Sweden," 579,680 ",,,,,
POL,23,,Poland," 525,866 ",,,,,
BEL,24,,Belgium," 524,806 ",,,,,
NGA,25,,Nigeria," 521,803 ",,,,,
NOR,26,,Norway," 512,580 ",,,,,
VEN,27,,"Venezuela, RB"," 438,284 ",,,,,
AUT,28,,Austria," 428,322 ",,,,,
ARE,29,,United Arab Emirates," 402,340 ",,,,,
THA,30,,Thailand," 387,252 ",,,,,
COL,31,,Colombia," 378,415 ",,,,,
IRN,32,,"Iran, Islamic Rep."," 368,904 ",,,,,
ZAF,33,,South Africa," 366,058 ",,,,,
DNK,34,,Denmark," 335,878 ",,,,,
MYS,35,,Malaysia," 313,159 ",,,,,
SGP,36,,Singapore," 297,941 ",,,,,
ISR,37,,Israel," 290,551 ",,,,,
CHL,38,,Chile," 277,199 ",,,,,
HKG,39,,"Hong Kong SAR, China"," 274,013 ",,,,,
PHL,40,,Philippines," 272,067 ",,,,,
EGY,41,,"Egypt, Arab Rep."," 271,973 ",,,,,
FIN,42,,Finland," 267,329 ",,,,,
GRC,43,,Greece," 242,230 ",,,,,
PAK,44,,Pakistan," 232,287 ",,,,,
IRL,45,,Ireland," 232,077 ",,,,,
KAZ,46,,Kazakhstan," 231,876 ",,,,,
IRQ,47,,Iraq," 229,327 ",,,,,
PRT,48,,Portugal," 227,324 ",,,,,
DZA,49,,Algeria," 210,183 ",,,,,
CZE,50,,Czech Republic," 208,796 ",,,,,
QAT,51,,Qatar," 203,235 ",,,,,
PER,52,,Peru," 202,350 ",,,,,
ROM,53,,Romania," 189,638 ",,,,,
NZL,54,,New Zealand," 185,788 ",,,,,
UKR,55,,Ukraine," 177,431 ",,,,,
KWT,56,,Kuwait," 175,831 ",,,,,
VNM,57,,Vietnam," 171,390 ",,,,,
BGD,58,,Bangladesh," 149,990 ",,,,,
HUN,59,,Hungary," 133,424 ",,,,,
AGO,60,,Angola," 124,178 ",,,,,
MAR,61,,Morocco," 103,836 ",a,,,,
PRI,62,,Puerto Rico," 103,135 ",,,,,
SVK,63,,Slovak Republic," 97,707 ",,,,,
ECU,64,,Ecuador," 94,473 ",,,,,
OMN,65,,Oman," 79,656 ",,,,,
LBY,66,,Libya," 74,200 ",,,,,
AZE,67,,Azerbaijan," 73,560 ",,,,,
BLR,68,,Belarus," 71,710 ",,,,,
CUB,69,,Cuba," 68,234 ",,,,,
LKA,70,,Sri Lanka," 67,182 ",,,,,
SDN,71,,Sudan," 66,566 ",b,,,,
DOM,72,,Dominican Republic," 61,164 ",,,,,
LUX,73,,Luxembourg," 60,131 ",,,,,
HRV,74,,Croatia," 57,869 ",,,,,
UZB,75,,Uzbekistan," 56,796 ",,,,,
URY,76,,Uruguay," 55,708 ",,,,,
KEN,77,,Kenya," 55,243 ",,,,,
BGR,78,,Bulgaria," 54,480 ",,,,,
GTM,79,,Guatemala," 53,797 ",,,,,
MAC,80,,"Macao SAR, China"," 51,753 ",,,,,
CRI,81,,Costa Rica," 49,621 ",,,,,
GHA,82,,Ghana," 48,137 ",,,,,
SVN,83,,Slovenia," 47,987 ",,,,,
ETH,84,,Ethiopia," 47,525 ",,,,,
TUN,85,,Tunisia," 46,994 ",,,,,
LTU,86,,Lithuania," 45,932 ",,,,,
SRB,87,,Serbia," 45,520 ",,,,,
LBN,88,,Lebanon," 44,352 ",,,,,
TZA,89,,Tanzania," 43,647 ",c,,,,
PAN,90,,Panama," 42,648 ",,,,,
TKM,91,,Turkmenistan," 41,851 ",,,,,
YEM,92,,"Yemen, Rep."," 35,955 ",,,,,
JOR,93,,Jordan," 33,679 ",,,,,
BHR,94,,Bahrain," 32,890 ",,,,,
ZAR,95,,"Congo, Dem. Rep."," 32,691 ",,,,,
CIV,96,,Côte d'Ivoire," 31,062 ",,,,,
LVA,97,,Latvia," 30,957 ",,,,,
BOL,98,,Bolivia," 30,601 ",,,,,
CMR,99,,Cameroon," 29,568 ",,,,,
PRY,100,,Paraguay," 29,009 ",,,,,
ZMB,101,,Zambia," 26,821 ",,,,,
EST,102,,Estonia," 24,880 ",,,,,
UGA,103,,Uganda," 24,703 ",,,,,
TTO,104,,Trinidad and Tobago," 24,641 ",,,,,
SLV,105,,El Salvador," 24,259 ",,,,,
CYP,106,,Cyprus," 21,911 ",d,,,,
AFG,107,,Afghanistan," 20,310 ",,,,,
GAB,108,,Gabon," 19,344 ",,,,,
NPL,109,,Nepal," 19,294 ",,,,,
HND,110,,Honduras," 18,550 ",,,,,
