Country,ISO3166,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,N/A,90,90,100,100,100,90,95,N/A,74,72,68,69,69,71,74,76,75,74,67,66,67
Albania,ALB,53,67,71,75,56,56,56,56,48,50,49,51,50,50,50,50,50,50,51,49,49,49
Algeria,DZA,83,99,99,99,97,83,83,74,62,62,63,64,61,62,62,62,64,62,62,61,59,61
Andorra,AND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,13,14,14,13,13,13,13,13,13,13,13,13
Angola,AGO,74,68,69,74,74,74,80,80,79,72,66,66,65,62,63,61,62,64,67,68,69,70
Antigua and Barbuda,ATG,28,35,35,46,46,46,46,46,44,45,43,40,38,38,39,38,38,38,38,38,39,38
Argentina,ARG,29,29,31,31,36,41,41,33,37,39,35,41,45,49,47,49,49,51,50,52,51,51
Armenia,ARM,52,57,56,56,56,56,57,59,60,65,64,64,64,64,66,68,66,65,65,61,62,61
Australia,AUS,9,7,8,10,10,10,10,10,10,14,14,18,19,21,21,22,22,21,21,21,22,22
Austria,AUT,19,18,12,12,12,12,12,14,24,23,23,21,21,21,21,21,21,21,21,21,21,22
Azerbaijan,AZE,70,69,69,74,74,73,70,76,77,73,71,72,73,75,77,78,79,79,80,82,84,87
Bahamas,BHS,18,8,7,7,7,7,7,7,8,11,14,14,16,17,20,20,20,20,20,19,20,21
Bahrain,BHR,60,57,60,66,66,69,75,75,75,68,70,71,72,71,71,71,71,72,84,86,87,87
Bangladesh,BGD,52,49,49,57,57,59,60,60,63,65,68,68,68,66,68,63,56,54,52,53,54,54
Barbados,BRB,17,19,16,16,16,16,16,16,16,14,17,17,17,17,19,19,19,19,19,18,18,18
Belarus,BLR,66,67,70,85,90,80,80,80,82,82,84,86,88,89,91,91,92,93,93,93,93,93
Belgium,BEL,7,7,10,10,10,9,9,9,9,9,9,11,11,11,11,12,12,12,11,11,11,11
Belize,BLZ,29,22,25,25,25,25,25,25,24,23,22,20,21,21,22,21,21,23,21,22,22,22
Benin,BEN,34,31,31,30,30,30,30,30,30,28,30,30,30,30,31,31,33,33,34,34,36,38
Bhutan,BTN,66,62,62,65,65,80,76,76,72,70,68,66,65,62,61,61,57,57,58,58,59,59
Bolivia,BOL,20,17,17,20,18,18,22,22,25,30,37,35,33,37,39,42,43,46,47,48,48,47
Bosnia-Herzegovina,BIH,70,72,76,71,74,56,56,54,53,49,48,45,45,45,45,47,48,48,48,49,50,51
Botswana,BWA,19,28,30,30,30,30,28,27,30,30,30,30,35,35,36,37,39,40,40,41,41,44
